Maria,F,5324
Leonor,F,1999
João,M,1932
Matilde,F,1889
Martim,M,1778
Rodrigo,M,1666
Santiago,M,1632
Francisco,M,1593
Afonso,M,1439
Tomás,M,1409
Miguel,M,1271
Beatriz,F,1268
Carolina,F,1228
Mariana,F,1205
Guilherme,M,1187
Gabriel,M,1143
Duarte,M,1127
Gonçalo,M,1106
Pedro,M,1065
Ana,F,1060
Tiago,M,1039
Rafael,M,1033
Inês,F,1001
Diogo,M,999
Lourenço,M,993
Margarida,F,989
Lucas,M,951
Sofia,F,950
Lara,F,916
Dinis,M,912
Salvador,M,890
Laura,F,815
Vicente,M,789
Gustavo,M,776
Francisca,F,755
Simão,M,752
José,M,672
Joana,F,671
David,M,660
Alice,F,623
Clara,F,600
Diego,M,584
Daniel,M,574
Diana,F,574
Luana,F,557
Mateus,M,541
Madalena,F,539
André,M,529
Mafalda,F,512
António,M,499
Bianca,F,494
Manuel,M,493
Mara,F,491
Constança,F,483
Henrique,M,474
Sara,F,467
Íris,F,462
Vasco,M,460
Leonardo,M,414
Camila,F,409
Rita,F,396
Benedita,F,393
Eva,F,385
Bernardo,M,379
Letícia,F,378
Carlota,F,373
Luís,M,368
Gabriela,F,354
Enzo,M,346
Eduardo,M,334
Catarina,F,322
Vitória,F,319
Yara,F,305
Ema,F,298
Ariana,F,275
Leandro,M,248
Yasmin,F,243
Alexandre,M,240
Matias,M,239
Luísa,F,235
Marta,F,232
Rúben,M,212
Ricardo,M,210
Isaac,M,208
Xavier,M,200
Filipe,M,197
Samuel,M,191
Rafaela,F,191
Miriam,F,188
Alícia,F,185
Victória,F,183
Núria,F,178
Carminho,F,176
Bruno,M,173
Iara,F,173
Melissa,F,170
Helena,F,169
Nicole,F,168
Filipa,F,161
Júlia,F,160
Bruna,F,154
Daniela,F,154
Carlos,M,148
Nuno,M,146
Isabel,F,144
Teresa,F,143
Lia,F,140
Valentina,F,136
Hugo,M,129
Kyara,F,129
Raquel,F,128
Artur,M,127
Bárbara,F,127
Rui,M,125
Jéssica,F,122
Érica,F,115
Sebastião,M,110
Noa,F,108
Frederico,M,106
Isis,F,102
Davi,M,100
Luna,F,99
Luena,F,94
Kelly,F,94
Juliana,F,93
Kevin,M,88
Jorge,M,87
Pilar,F,87
Paulo,M,85
Eduarda,F,84
Valentim,M,82
Mia,F,82
Fábio,M,79
Alexandra,F,78
Mário,M,77
Irina,F,77
Mélanie,F,75
Noah,M,74
Marco,M,74
Micael,M,73
Ivan,M,73
Ângelo,M,72
Kévim,M,69
Brian,M,67
Joaquim,M,67
Caetana,F,67
Soraia,F,64
Adriana,F,62
Isabela,F,62
Lorena,F,60
Cristiano,M,59
Renato,M,57
Paloma,F,56
Naiara,F,55
Salomé,F,53
Olívia,F,52
Ivo,M,51
Tomé,M,51
Sérgio,M,51
Edgar,M,50
Luciana,F,50
Débora,F,49
Amélia,F,49
Jaime,M,48
Gil,M,47
Benjamim,M,47
Fabiana,F,47
Emília,F,47
Andreia,F,47
Emma,F,47
Lisandro,M,46
William,M,46
Joel,M,45
Fernando,M,45
Aurora,F,45
Petra,F,45
Nádia,F,44
Renata,F,44
Manel,M,43
César,M,43
Bryan,M,42
Tatiana,F,42
Luca,M,41
Sarah,F,41
Gaspar,M,39
Julieta,F,38
Ângela,F,37
Igor,M,36
Anita,F,35
Nair,F,35
Vítor,M,34
Dilan,M,34
Áurea,F,34
Flor,F,34
Cristiana,F,34
Emanuel,M,33
Isabella,F,33
Frederica,F,32
Dânia,F,32
Vera,F,32
Simone,F,32
Aline,F,32
Ester,F,32
Marcelo,M,31
Wilson,M,31
Safira,F,31
Bia,F,31
Patrícia,F,31
Mayara,F,31
Rosa,F,31
Sandro,M,30
Cláudio,M,30
Arthur,M,29
Martinho,M,29
Lorenzo,M,29
Alex,M,29
Verónica,F,29
Maiara,F,29
Cláudia,F,29
Yuri,M,28
Nelson,M,28
Denis,M,28
Iris,F,28
Liliana,F,28
Eric,M,27
Romeu,M,27
Álvaro,M,27
Violeta,F,27
Larissa,F,27
Leo,M,26
Muhammad,M,26
Victor,M,26
Neuza,F,26
Elisa,F,26
Raissa,F,26
Sophia,F,26
Martin,M,25
Victoria,F,25
Lúcia,F,25
Caio,M,24
Erik,M,24
Isac,M,24
Erika,F,24
Alana,F,24
Ian,M,23
Ismael,M,23
Raúl,M,23
Moisés,M,23
Marcos,M,23
Mauro,M,23
Liam,M,23
Elias,M,23
Natacha,F,23
Vanessa,F,23
Elena,F,23
Carmo,F,23
Micaela,F,23
Sandra,F,23
Jonas,M,22
Levi,M,22
Thomas,M,22
Susana,F,22
Cristina,F,22
Carla,F,22
Josué,M,21
Kelvin,M,21
Alicia,F,21
Christian,M,20
Matheus,M,20
Telmo,M,20
Márcia,F,20
Fátima,F,20
Cátia,F,20
Taís,F,20
Paula,F,20
Emily,F,20
Marisa,F,20
Dário,M,19
Danilo,M,19
Jonathan,M,19
Márcio,M,19
Thiago,M,19
Edson,M,19
Cíntia,F,19
Doriana,F,19
Antónia,F,19
Luz,F,19
Eliane,F,19
Rebeca,F,19
Marina,F,19
Raphael,M,18
Dylan,M,18
Denzel,M,18
Jonatã,M,18
Flávio,M,18
Tamara,F,18
Clarisse,F,18
Viviane,F,18
Ariane,F,18
Amanda,F,18
Erica,F,18
Hélder,M,17
Júlio,M,17
Raul,M,17
Elsa,F,17
Abigail,F,17
Eliana,F,17
Liara,F,17
James,M,16
Gerson,M,16
Telma,F,16
Leticia,F,16
Tânia,F,16
Rute,F,16
Penélope,F,16
Nayara,F,16
Giovani,M,15
Ruben,M,15
Giovana,F,15
Solange,F,15
Denise,F,15
Liana,F,15
Serena,F,15
Carina,F,15
Maísa,F,15
Mónica,F,15
Noemi,F,15
Maya,F,15
Ayla,F,15
Abel,M,14
Roberto,M,14
Fausto,M,14
Misael,M,14
Leonel,M,14
Oriana,F,14
Flávia,F,14
Anna,F,14
Cloé,F,14
Brenda,F,14
Sílvia,F,14
Nina,F,14
Cloe,F,14
Estrela,F,14
Sebastian,M,13
Rubim,M,13
Luan,M,13
Isaque,M,13
Joshua,M,13
Angélica,F,13
Rosarinho,F,13
Isa,F,13
Eunice,F,13
Liane,F,13
Valéria,F,13
Suri,F,13
Cecília,F,13
Concha,F,13
Clarinha,F,13
Sónia,F,13
Dalila,F,13
Sabrina,F,13
Briana,F,13
Benjamin,M,12
Augusto,M,12
Andrei,M,12
Jason,M,12
Luciano,M,12
Luis,M,12
Milena,F,12
Aléxia,F,12
Jénifer,F,12
Alina,F,12
Ashley,F,12
Glória,F,12
Morgana,F,12
Samira,F,12
Lea,F,12
Flora,F,12
Gabriella,F,12
Irene,F,12
Kayla,F,12
Lídia,F,12
Amália,F,12
Domingos,M,11
Nicolau,M,11
Israel,M,11
Erick,M,11
Maurício,M,11
Anselmo,M,11
Mohamed,M,11
Alberto,M,11
Martina,F,11
Angelina,F,11
Pérola,F,11
Lana,F,11
Magda,F,11
Graça,F,11
Ísis,F,11
Kiara,F,11
Jade,F,11
Ary,M,10
Rogério,M,10
Iago,M,10
Júnior,M,10
Cauã,M,10
Mateo,M,10
Mark,M,10
Valentino,M,10
Iúri,M,10
Cristian,M,10
Adam,M,10
Amadeu,M,10
Adriano,M,10
Anderson,M,10
Joabe,M,10
Nathan,M,10
Adrian,M,10
India,F,10
Melanie,F,10
Lívia,F,10
Naísa,F,10
Lisa,F,10
Mayra,F,10
Anabela,F,10
Esther,F,10
Chloé,F,10
Aisha,F,10
Viviana,F,10
Samanta,F,10
Taísa,F,10
Alan,M,9
Quévin,M,9
Evandro,M,9
Noé,M,9
Maxim,M,9
Ryan,M,9
Gastão,M,9
Steven,M,9
Theo,M,9
Julia,F,9
Maira,F,9
Carmen,F,9
Lua,F,9
Giovanna,F,9
Leandra,F,9
Cármen,F,9
Nídia,F,9
Rayssa,F,9
Samara,F,9
Esmeralda,F,9
Priscila,F,9
Lais,F,9
Taíssa,F,9
Raphaël,M,8
Aaron,M,8
Óscar,M,8
Breno,M,8
Nicolas,M,8
