F;     Alessia            
M;    Albertson
F;      Alexa             
M;      Albino
F;    Alexandra           
M;    Alcassimo
F;   Alexandria           
M;      Alcides
F;   Alexandrina          
M;     Alcindo
F;    Alexanne            
M;      Alcino
F;      Alexia            
M;    Aldiouma
F;      Aléxia            
M;       Aldo
F;      Alexis            
M;       Alec
F;      Aléxis            
M;   Alecsander
F;      Alexya            
M;    Alejandro
F;    Alfatihah           
M;       Aleks
F;     Alhona             
M;   Aleksandar
F;       Alia             
M;   Aleksander
F;       Ália             
M;    Aleksandr
F;       Aliah            
M;     Aleksey
F;      Aliana            
M;      Áleph
F;      Aliane            
M;    Alesandro
F;       Aliça            
M;   Alessandro
F;       Alice            
M;      Alessio
F;      Alicia            
M;       Alex
F;      Alícia            
M;       Álex
F;     Aliciana           
M;    Alexander
F;      Alicya            
M;    Alexandr
F;     Aliénor            
M;    Alexandre
F;     Alifiyah           
M;   Alexandrino
F;     Alimatu            
M;    Alexandro
F;       Alina            
M;   Alexandros
F;       Aline            
M;    Alexandru
F;      Alinne            
M;      Alexei
F;        Alis            
M;      Alexey
F;       Alisa            
M;      Aléxio
F;       Alise            
M;      Alexis
F;      Alisha            
M;      Aléxis
F;      Alisia            
M;   Alexsander
F;      Alisiya           
M;    Alexsandr
F;      Álison            
M;   Alexsandro
F;     Alissa           
M;    Aleyson
F;     Alissia          
M;       Alfa
F;     Alixya           
M;      Alfee
F;      Aliya           
M;     Alfonso
F;     Aliyah           
M;      Alfred
F;     Áliyah           
M;   Alfredinho
F;     Aliyha           
M;     Alfredo
F;     Aliyya           
M;    Alhasan
F;      Aliza           
M;        Ali
F;     Alizah           
M;     Alikhan
F;     Alizay           
M;       Alin
F;     Allana           
M;      Aliou
F;     Allegra          
M;      Alípio
F;      Allet           
M;      Alison
F;     Allexa           
M;      Álison
F;      Allice          
M;       Aliu
F;     Allina           
M;      Aliyan
F;     Alliyah          
M;      Allan
F;      Alma            
M;      Allex
F;   Almerinda          
M;     Allister
F;      Alva            
M;     Allyson
F;     Alvina           
M;     Almiro
F;      Alya            
M;     Aloísio
F;     Alyah            
M;     Alonso
F;    Alyanna           
M;    Aloysius
F;     Alycce           
M;      Alpha
F;     Alycia           
M;     Alseny
F;     Alyha            
M;      Altay
F;     Alyne            
M;      Altino
F;     Alyona           
M;    Alvarino
F;      Alyse           
M;     Alvaro
F;     Alysha           
M;     Álvaro
F;     Alyssa           
M;      Alvim
F;     Alyssia          
M;       Alvis
F;     Alzira           
M;        Aly
F;    Amaana            
M;     Alyaan
F;    Amadea            
M;    Amadeo
F;     Amaia            
M;    Amadeu
F;    Amaina            
M;     Amadi
F;      Amal            
M;    Amador
F;     Amalia           
M;    Amadou
F;     Amália           
M;      Aman
F;    Amanda            
M;    Amâncio
F;   Amandeed           
M;    Amandio
F;    Amandla           
M;    Amândio
F;     Amara            
M;      Amar
F;   Amarachi           
M;     Amaro
F;     Amari            
M;     Amary
F;    Amarílys          
M;    Américo
F;     Amaris            
M;       Ami
F;   Amatullah           
M;    Amilcar
F;      Âmbar            
M;    Amílcar
F;      Amber            
M;    Amilton
F;     Ambina            
M;      Amin
F;     Amelia            
M;      Amir
F;     Amélia            
M;    Amirxon
F;     Amelie            
M;    Ammar
F;     Amélie            
M;    Amoljot
F;    Ameriane           
M;      Amrit
F;     América           
M;      Anael
F;       Ami             
M;    Ananias
F;     Amiela            
M;   Anantveer
F;      Amilia           
M;      Anas
F;      Amina            
M;      Anass
F;   Aminadabe           
M;   Anastácio
F;     Áminah            
M;     Anatol
F;    Aminata            
M;    Anatoly
F;      Amira            
M;     Ander
F;     Amirah            
M;   Anderson
F;     Amnah             
M;     Andoni
F;      Amora            
M;     Andre
F;      Amrit            
M;     André
F;   Amritveer           
M;     Andrea
F;       Amy             
M;    Andreas
F;       Ana             
M;     Andrei
F;     Anabel            
M;     Andreo
F;     Anabela           
M;     Andres
F;    Anabelle           
M;     Andrés
F;     Anabia            
M;    Andrew
F;     Anaelle           
M;     Andrey
F;     Anagila           
M;     Andriel
F;     Anahel            
M;    Andries
F;      Anaíce           
M;     Andrii
F;       Anair           
M;     Andriy
F;      Anais            
M;      Andrs
F;      Anaís            
M;      Andy
F;      Anaïs            
M;      Angel
F;      Anaisa           
M;      Ángel
F;      Anaísa           
M;      Àngel
F;      Anaise           
M;    Angélico
F;     Anaïssa           
M;    Angelino
F;     Anaïsse           
M;     Angelo
F;      Anaiza           
M;     Ângelo
F;      Anaíze           
M;     Ânghel
F;    Ana-Jane           
M;     Aníbal
F;     Anajulia          
M;     Anilson
F;      Analía           
